,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0001944160321727395,108.0,0.0,0.1,300
1,1,0.040680999984033406,110.0,2.0,0.1,300
2,2,0.04086687497328967,110.0,4.0,0.1,300
3,3,0.041000708006322384,112.0,6.0,0.1,300
4,4,0.04107495793141425,112.0,7.0,0.1,300
5,5,0.041211375035345554,112.0,9.0,0.1,300
6,6,0.04134712496306747,112.0,11.0,0.1,300
7,7,0.04147645796183497,112.0,13.0,0.1,300
8,8,0.041611333028413355,112.0,15.0,0.1,300
9,9,0.041692790924571455,112.0,16.0,0.1,300
10,10,0.041827999986708164,112.0,18.0,0.1,300
11,11,0.041976624983362854,112.0,20.0,0.1,300
12,12,0.04212954093236476,112.0,22.0,0.1,300
13,13,0.042266624979674816,112.0,24.0,0.1,300
14,14,0.042402375023812056,112.0,26.0,0.1,300
15,15,0.04248466598801315,112.0,27.0,0.1,300
16,16,0.04256258299574256,112.0,28.0,0.1,300
17,17,0.04267370793968439,112.0,29.0,0.1,300
18,18,0.04279329092241824,112.0,30.0,0.1,300
19,19,0.04302891599945724,112.0,32.0,0.1,300
20,20,0.0431874159257859,112.0,34.0,0.1,300
21,21,0.04332337493542582,114.0,36.0,0.1,300
22,22,0.043578665936365724,114.0,38.0,0.1,300
23,23,0.04373904096428305,114.0,40.0,0.1,300
24,24,0.04387950000818819,116.0,42.0,0.1,300
25,25,0.04402595793362707,116.0,44.0,0.1,300
26,26,0.04410808300599456,116.0,45.0,0.1,300
27,27,0.04418958292808384,116.0,46.0,0.1,300
28,28,0.04433129099197686,116.0,48.0,0.1,300
29,29,0.04447179101407528,116.0,50.0,0.1,300
30,30,0.04460999998264015,118.0,52.0,0.1,300
31,31,0.04469162493478507,118.0,53.0,0.1,300
32,32,0.044832958024926484,118.0,55.0,0.1,300
33,33,0.04497591592371464,118.0,57.0,0.1,300
34,34,0.04505816602613777,118.0,58.0,0.1,300
35,35,0.045140499947592616,118.0,59.0,0.1,300
36,36,0.04528304096311331,118.0,61.0,0.1,300
37,37,0.04536845802795142,118.0,62.0,0.1,300
38,38,0.04551229102071375,118.0,64.0,0.1,300
39,39,0.04565462493337691,118.0,66.0,0.1,300
40,40,0.045794582925736904,118.0,68.0,0.1,300
41,41,0.04593745793681592,118.0,70.0,0.1,300
42,42,0.046080625033937395,118.0,72.0,0.1,300
43,43,0.046221000025980175,120.0,74.0,0.1,300
44,44,0.0463675829814747,120.0,76.0,0.1,300
45,45,0.04645170795265585,120.0,77.0,0.1,300
46,46,0.04659625003114343,120.0,79.0,0.1,300
47,47,0.046740790945477784,120.0,81.0,0.1,300
48,48,0.046825333032757044,120.0,82.0,0.1,300
49,49,0.04697216593194753,120.0,84.0,0.1,300
50,50,0.0471177080180496,120.0,86.0,0.1,300
51,51,0.04720312496647239,120.0,87.0,0.1,300
52,52,0.04729087499435991,120.0,88.0,0.1,300
53,53,0.047439708025194705,120.0,90.0,0.1,300
54,54,0.04758670798037201,120.0,92.0,0.1,300
55,55,0.04767287499271333,120.0,93.0,0.1,300
56,56,0.04781925003044307,120.0,95.0,0.1,300
57,57,0.04796787502709776,120.0,97.0,0.1,300
58,58,0.04811241594143212,122.0,99.0,0.1,300
59,59,0.04825645801611245,124.0,101.0,0.1,300
60,60,0.04840162501204759,126.0,103.0,0.1,300
61,61,0.04849062499124557,126.0,104.0,0.1,300
62,62,0.04857908294070512,126.0,105.0,0.1,300
63,63,0.04872720793355256,126.0,107.0,0.1,300
64,64,0.048872040933929384,128.0,109.0,0.1,300
65,65,0.04896091599948704,128.0,110.0,0.1,300
66,66,0.049113124958239496,128.0,112.0,0.1,300
67,67,0.049262166023254395,128.0,114.0,0.1,300
68,68,0.049411040963605046,128.0,116.0,0.1,300
69,69,0.04956083302386105,128.0,118.0,0.1,300
70,70,0.04971020796801895,128.0,120.0,0.1,300
71,71,0.04986016592010856,128.0,122.0,0.1,300
72,72,0.049948332947678864,128.0,123.0,0.1,300
73,73,0.05010220792610198,128.0,125.0,0.1,300
74,74,0.050192666007205844,128.0,126.0,0.1,300
75,75,0.05034149996936321,130.0,128.0,0.1,300
76,76,0.05043337494134903,130.0,129.0,0.1,300
77,77,0.050525750033557415,130.0,130.0,0.1,300
78,78,0.050678040948696434,130.0,132.0,0.1,300
79,79,0.0507706250064075,130.0,133.0,0.1,300
80,80,0.05092291592154652,130.0,135.0,0.1,300
81,81,0.051015582983382046,130.0,136.0,0.1,300
82,82,0.05110716598574072,130.0,137.0,0.1,300
83,83,0.051260082982480526,130.0,139.0,0.1,300
84,84,0.05135312501806766,130.0,140.0,0.1,300
85,85,0.051505915937013924,130.0,142.0,0.1,300
86,86,0.051659165997989476,130.0,144.0,0.1,300
87,87,0.05175362492445856,130.0,145.0,0.1,300
88,88,0.051848124945536256,130.0,146.0,0.1,300
89,89,0.05200000002514571,132.0,148.0,0.1,300
90,90,0.05215091595891863,134.0,150.0,0.1,300
91,91,0.05230500001925975,134.0,152.0,0.1,300
92,92,0.05246024997904897,134.0,154.0,0.1,300
93,93,0.05255562497768551,134.0,155.0,0.1,300
94,94,0.052711208001710474,134.0,157.0,0.1,300
95,95,0.052863665972836316,136.0,159.0,0.1,300
96,96,0.05302162503357977,136.0,161.0,0.1,300
97,97,0.053178290952928364,136.0,163.0,0.1,300
98,98,0.053333999938331544,136.0,165.0,0.1,300
99,99,0.05348454101476818,138.0,167.0,0.1,300
100,100,0.05364058294799179,138.0,169.0,0.1,300
101,101,0.05373795796185732,138.0,170.0,0.1,300
102,102,0.053834040998481214,138.0,171.0,0.1,300
103,103,0.053991790977306664,138.0,173.0,0.1,300
104,104,0.05414629098959267,140.0,175.0,0.1,300
105,105,0.0543028749525547,140.0,177.0,0.1,300
106,106,0.05440124997403473,140.0,178.0,0.1,300
107,107,0.054499665973708034,140.0,179.0,0.1,300
108,108,0.05465808301232755,140.0,181.0,0.1,300
109,109,0.05475820798892528,140.0,182.0,0.1,300
110,110,0.05491933296434581,140.0,184.0,0.1,300
111,111,0.05501870799344033,140.0,185.0,0.1,300
112,112,0.05511824996210635,140.0,186.0,0.1,300
113,113,0.05527833302039653,140.0,188.0,0.1,300
114,114,0.05543683294672519,140.0,190.0,0.1,300
115,115,0.055597041035071015,140.0,192.0,0.1,300
116,116,0.05575354094617069,142.0,194.0,0.1,300
117,117,0.05590904096607119,142.0,196.0,0.1,300
118,118,0.05606870795600116,142.0,198.0,0.1,300
119,119,0.05617004097439349,142.0,199.0,0.1,300
120,120,0.05632804101333022,142.0,201.0,0.1,300
121,121,0.05642991594504565,142.0,202.0,0.1,300
122,122,0.05659058294259012,142.0,204.0,0.1,300
123,123,0.05669258302077651,142.0,205.0,0.1,300
124,124,0.056795540964230895,142.0,206.0,0.1,300
125,125,0.05695445800665766,144.0,208.0,0.1,300
126,126,0.057117082993499935,144.0,210.0,0.1,300
127,127,0.05722087493631989,144.0,211.0,0.1,300
128,128,0.05738408293109387,144.0,213.0,0.1,300
129,129,0.057489041006192565,144.0,214.0,0.1,300
