,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,8.983293082565069e-05,15.0,0.0,0,300,0
1,1,0.01891320792492479,15.0,1.0,0,300,0
2,2,0.018956666928716004,15.0,2.0,0,300,0
3,3,0.01902274996973574,17.0,4.0,0,300,0
4,4,0.019049332942813635,17.0,5.0,0,300,0
5,5,0.01907325000502169,17.0,6.0,0,300,0
6,6,0.019095791969448328,17.0,7.0,0,300,0
7,7,0.01913045800756663,19.0,9.0,0,300,0
8,8,0.019152957946062088,19.0,10.0,0,300,0
9,9,0.01917962497100234,19.0,11.0,0,300,0
10,10,0.01920604193583131,19.0,12.0,0,300,0
11,11,0.01922941696830094,19.0,13.0,0,300,0
12,12,0.019254791899584234,19.0,14.0,0,300,0
13,13,0.019282458000816405,19.0,15.0,0,300,0
14,14,0.019310041912831366,19.0,16.0,0,300,0
15,15,0.019334499957039952,19.0,17.0,0,300,0
16,16,0.01935862493701279,19.0,18.0,0,300,0
17,17,0.019384666928090155,19.0,19.0,0,300,0
18,18,0.019412666908465326,19.0,20.0,0,300,0
19,19,0.01943866699002683,19.0,21.0,0,300,0
20,20,0.019464499899186194,19.0,22.0,0,300,0
21,21,0.019502207986079156,21.0,24.0,0,300,0
22,22,0.01952908292878419,21.0,25.0,0,300,0
23,23,0.01955458300653845,21.0,26.0,0,300,0
24,24,0.019580582971684635,21.0,27.0,0,300,0
25,25,0.019609207985922694,21.0,28.0,0,300,0
26,26,0.01963683299254626,21.0,29.0,0,300,0
27,27,0.01966395799536258,21.0,30.0,0,300,0
28,28,0.019691166933625937,21.0,31.0,0,300,0
29,29,0.01971995795611292,21.0,32.0,0,300,0
30,30,0.01974816690199077,21.0,33.0,0,300,0
31,31,0.019776082946918905,21.0,34.0,0,300,0
32,32,0.019804124953225255,21.0,35.0,0,300,0
33,33,0.019837250001728535,21.0,36.0,0,300,0
34,34,0.01986654195934534,21.0,37.0,0,300,0
35,35,0.01989499991759658,21.0,38.0,0,300,0
36,36,0.019924082909710705,21.0,39.0,0,300,0
37,37,0.019953582901507616,21.0,40.0,0,300,0
38,38,0.019982749945484102,21.0,41.0,0,300,0
39,39,0.020012291963212192,21.0,42.0,0,300,0
40,40,0.020041791955009103,21.0,43.0,0,300,0
41,41,0.02007416693959385,21.0,44.0,0,300,0
42,42,0.020104957977309823,21.0,45.0,0,300,0
43,43,0.020135249942541122,21.0,46.0,0,300,0
44,44,0.020166332949884236,21.0,47.0,0,300,0
45,45,0.02019841701257974,21.0,48.0,0,300,0
46,46,0.02023145800922066,21.0,49.0,0,300,0
47,47,0.020262541947886348,21.0,50.0,0,300,0
48,48,0.020295624970458448,21.0,51.0,0,300,0
49,49,0.020329249906353652,21.0,52.0,0,300,0
50,50,0.02036208298522979,21.0,53.0,0,300,0
51,51,0.020394332939758897,21.0,54.0,0,300,0
52,52,0.020426832954399288,21.0,55.0,0,300,0
53,53,0.02046187501400709,21.0,56.0,0,300,0
54,54,0.02049575001001358,21.0,57.0,0,300,0
55,55,0.020529208006337285,21.0,58.0,0,300,0
56,56,0.020562582998536527,21.0,59.0,0,300,0
57,57,0.020595791982486844,21.0,60.0,0,300,0
58,58,0.02063070796430111,21.0,61.0,0,300,0
59,59,0.02066574990749359,21.0,62.0,0,300,0
60,60,0.020700166933238506,21.0,63.0,0,300,0
61,61,0.02073483297135681,21.0,64.0,0,300,0
62,62,0.0207720419857651,21.0,65.0,0,300,0
63,63,0.020807916997000575,21.0,66.0,0,300,0
64,64,0.0208444579038769,21.0,67.0,0,300,0
65,65,0.02088154200464487,21.0,68.0,0,300,0
66,66,0.020917707937769592,21.0,69.0,0,300,0
67,67,0.020953957922756672,21.0,70.0,0,300,0
68,68,0.020990207907743752,21.0,71.0,0,300,0
69,69,0.02102641691453755,21.0,72.0,0,300,0
70,70,0.021062999963760376,21.0,73.0,0,300,0
71,71,0.021099791978485882,21.0,74.0,0,300,0
