,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,13.0,0,0.00026287499349564314,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",geometric,0.1,0.99,0.001,0.0999997358021518,0.1,300
1,300,25.0,376,0.03658137493766844,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1]",geometric,0.1,0.99,0.001,0.09996324124727496,0.1,300
2,0,13.0,0,0.00010666705202311277,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",geometric,0.5,0.99,0.001,0.49999946398043865,0.5,300
3,300,25.0,378,0.10856275004334748,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1]",geometric,0.5,0.99,0.001,0.4994547514627202,0.5,300
4,0,13.0,0,9.829201735556126e-05,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",geometric,1.0,0.99,0.001,0.9999990121327018,1.0,300
5,300,25.0,395,0.32224699994549155,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",geometric,1.0,0.99,0.001,0.9967665483238395,1.0,300
6,0,13.0,0,0.00010416703298687935,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",geometric,2.0,0.99,0.001,1.9999979061737632,2.0,300
7,300,27.0,412,0.14892433304339647,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]",geometric,2.0,0.99,0.001,1.9970087599843704,2.0,300
8,0,13.0,0,8.975004311650991e-05,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",geometric,5.0,0.99,0.001,4.999995489911654,5.0,300
9,300,27.0,457,0.042386083980090916,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,5.0,0.99,0.001,4.997870481716041,5.0,300
10,0,13.0,0,0.00010591698810458183,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",geometric,10.0,0.99,0.001,9.999989354992636,10,300
11,300,27.0,510,0.08816495793871582,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,10.0,0.99,0.001,9.991143050217534,10,300
