,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00019737507682293653,130.0,0.0,0,300,0
1,1,0.011515042046085,130.0,1.0,0,300,0
2,2,0.011541167041286826,130.0,2.0,0,300,0
3,3,0.01156925002578646,131.0,4.0,0,300,0
4,4,0.011593375005759299,132.0,6.0,0,300,0
5,5,0.01161612500436604,132.0,7.0,0,300,0
6,6,0.011634667054750025,132.0,8.0,0,300,0
7,7,0.011658458039164543,133.0,10.0,0,300,0
8,8,0.01168179209344089,134.0,12.0,0,300,0
9,9,0.011702458024956286,134.0,13.0,0,300,0
10,10,0.011723583098500967,134.0,14.0,0,300,0
11,11,0.011742042028345168,134.0,15.0,0,300,0
12,12,0.011768792057409883,135.0,17.0,0,300,0
13,13,0.011798292049206793,136.0,19.0,0,300,0
14,14,0.011826583067886531,137.0,21.0,0,300,0
15,15,0.011855000047944486,138.0,23.0,0,300,0
16,16,0.01188041700515896,139.0,25.0,0,300,0
17,17,0.01190604199655354,140.0,27.0,0,300,0
18,18,0.01192850002553314,140.0,28.0,0,300,0
19,19,0.011949417064897716,140.0,29.0,0,300,0
20,20,0.011976417037658393,141.0,31.0,0,300,0
21,21,0.012002417002804577,142.0,33.0,0,300,0
22,22,0.012025125091895461,142.0,34.0,0,300,0
23,23,0.012052292004227638,143.0,36.0,0,300,0
24,24,0.012078625033609569,144.0,38.0,0,300,0
25,25,0.012106000096537173,145.0,40.0,0,300,0
26,26,0.012133125099353492,146.0,42.0,0,300,0
27,27,0.012160375015810132,147.0,44.0,0,300,0
28,28,0.012181792058981955,147.0,45.0,0,300,0
29,29,0.012210417073220015,148.0,47.0,0,300,0
30,30,0.012238500057719648,149.0,49.0,0,300,0
31,31,0.012260792078450322,149.0,50.0,0,300,0
32,32,0.012290208018384874,150.0,52.0,0,300,0
33,33,0.012316083069890738,150.0,53.0,0,300,0
34,34,0.012340250075794756,150.0,54.0,0,300,0
35,35,0.012363707995973527,150.0,55.0,0,300,0
36,36,0.012387625058181584,150.0,56.0,0,300,0
37,37,0.0124130001058802,150.0,57.0,0,300,0
38,38,0.012441208004020154,150.0,58.0,0,300,0
39,39,0.012471958063542843,151.0,60.0,0,300,0
40,40,0.012496167095378041,151.0,61.0,0,300,0
41,41,0.012527375016361475,152.0,63.0,0,300,0
42,42,0.012552542029879987,152.0,64.0,0,300,0
43,43,0.012577792047522962,152.0,65.0,0,300,0
44,44,0.012603208073414862,152.0,66.0,0,300,0
45,45,0.012632333091460168,152.0,67.0,0,300,0
46,46,0.012659250060096383,152.0,68.0,0,300,0
47,47,0.012691292096860707,153.0,70.0,0,300,0
48,48,0.012723292107693851,154.0,72.0,0,300,0
49,49,0.012751250062137842,154.0,73.0,0,300,0
50,50,0.012781917001120746,154.0,74.0,0,300,0
51,51,0.012809458072297275,154.0,75.0,0,300,0
52,52,0.012837167014367878,154.0,76.0,0,300,0
53,53,0.012873125029727817,155.0,78.0,0,300,0
54,54,0.012901625013910234,155.0,79.0,0,300,0
55,55,0.01293133303988725,155.0,80.0,0,300,0
56,56,0.012962000095285475,155.0,81.0,0,300,0
57,57,0.012998457998037338,156.0,83.0,0,300,0
58,58,0.013027375098317862,156.0,84.0,0,300,0
59,59,0.013057708041742444,156.0,85.0,0,300,0
60,60,0.013087500003166497,156.0,86.0,0,300,0
61,61,0.013116750051267445,156.0,87.0,0,300,0
62,62,0.013146292068995535,156.0,88.0,0,300,0
63,63,0.013175958069041371,156.0,89.0,0,300,0
64,64,0.013212167075835168,157.0,91.0,0,300,0
65,65,0.01324608305003494,157.0,92.0,0,300,0
66,66,0.013277583057060838,157.0,93.0,0,300,0
67,67,0.01330891705583781,157.0,94.0,0,300,0
68,68,0.013345833052881062,158.0,96.0,0,300,0
69,69,0.013377042021602392,158.0,97.0,0,300,0
70,70,0.0134089580969885,158.0,98.0,0,300,0
71,71,0.013440917013213038,158.0,99.0,0,300,0
72,72,0.013479083077982068,159.0,101.0,0,300,0
73,73,0.013511208002455533,159.0,102.0,0,300,0
74,74,0.01355020806659013,160.0,104.0,0,300,0
75,75,0.0135827501071617,160.0,105.0,0,300,0
76,76,0.013621458085253835,161.0,107.0,0,300,0
77,77,0.013656333088874817,161.0,108.0,0,300,0
78,78,0.013689875020645559,161.0,109.0,0,300,0
79,79,0.013729458092711866,162.0,111.0,0,300,0
80,80,0.01376308302860707,162.0,112.0,0,300,0
81,81,0.013798208092339337,162.0,113.0,0,300,0
82,82,0.01383341709151864,162.0,114.0,0,300,0
83,83,0.01386875007301569,162.0,115.0,0,300,0
84,84,0.013909750035963953,163.0,117.0,0,300,0
85,85,0.013944792095571756,163.0,118.0,0,300,0
86,86,0.013980832998640835,163.0,119.0,0,300,0
87,87,0.014017000095918775,163.0,120.0,0,300,0
88,88,0.014097583014518023,163.0,121.0,0,300,0
89,89,0.014144167071208358,163.0,122.0,0,300,0
90,90,0.014181000064127147,163.0,123.0,0,300,0
91,91,0.014223667094483972,164.0,125.0,0,300,0
92,92,0.014260000083595514,164.0,126.0,0,300,0
93,93,0.014301875024102628,164.0,127.0,0,300,0
94,94,0.014345375006087124,165.0,129.0,0,300,0
95,95,0.014382458059117198,165.0,130.0,0,300,0
96,96,0.014426000067032874,166.0,132.0,0,300,0
97,97,0.014463708037510514,166.0,133.0,0,300,0
98,98,0.014505625003948808,166.0,134.0,0,300,0
99,99,0.01454504206776619,166.0,135.0,0,300,0
100,100,0.014583917101845145,166.0,136.0,0,300,0
101,101,0.014622958027757704,166.0,137.0,0,300,0
102,102,0.014668625080958009,167.0,139.0,0,300,0
103,103,0.014714832999743521,168.0,141.0,0,300,0
104,104,0.014760667108930647,169.0,143.0,0,300,0
105,105,0.01480687502771616,170.0,145.0,0,300,0
106,106,0.01484745810739696,170.0,146.0,0,300,0
107,107,0.014894042047671974,171.0,148.0,0,300,0
108,108,0.015172458020970225,171.0,149.0,0,300,0
109,109,0.015339458012022078,171.0,150.0,0,300,0
110,110,0.015464458032511175,171.0,151.0,0,300,0
111,111,0.015613917028531432,172.0,153.0,0,300,0
112,112,0.01574033300857991,172.0,154.0,0,300,0
113,113,0.015882625011727214,173.0,156.0,0,300,0
114,114,0.016024208045564592,174.0,158.0,0,300,0
115,115,0.016147917020134628,174.0,159.0,0,300,0
116,116,0.016273458022624254,174.0,160.0,0,300,0
117,117,0.016417750041000545,175.0,162.0,0,300,0
118,118,0.016544042038731277,175.0,163.0,0,300,0
