,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0010100830113515258,27.0,50.0,50,0.05,300
1,1,0.02589554199948907,31.0,102.0,50,0.05,300
2,2,0.02787362493108958,32.0,154.0,50,0.05,300
3,3,0.029824999975971878,32.0,205.0,50,0.05,300
4,4,0.03176699997857213,34.0,257.0,50,0.05,300
5,5,0.033647999982349575,34.0,308.0,50,0.05,300
6,6,0.03550720796920359,37.0,360.0,50,0.05,300
7,7,0.03736458299681544,37.0,411.0,50,0.05,300
8,8,0.03918983298353851,37.0,462.0,50,0.05,300
9,9,0.04102470795623958,38.0,514.0,50,0.05,300
10,10,0.042863333015702665,38.0,565.0,50,0.05,300
11,11,0.04468858300242573,39.0,617.0,50,0.05,300
12,12,0.04651841695886105,40.0,669.0,50,0.05,300
13,13,0.0483571250224486,40.0,720.0,50,0.05,300
14,14,0.050205708015710115,42.0,772.0,50,0.05,300
15,15,0.0520567080238834,43.0,824.0,50,0.05,300
16,16,0.05387070798315108,43.0,875.0,50,0.05,300
17,17,0.055734916939400136,46.0,927.0,50,0.05,300
18,18,0.057569292024709284,46.0,978.0,50,0.05,300
19,19,0.05939616693649441,46.0,1029.0,50,0.05,300
20,20,0.06123429199215025,46.0,1080.0,50,0.05,300
21,21,0.06305887491907924,47.0,1132.0,50,0.05,300
22,22,0.06488704192452133,47.0,1183.0,50,0.05,300
23,23,0.06670724996365607,49.0,1235.0,50,0.05,300
24,24,0.06854354194365442,49.0,1286.0,50,0.05,300
25,25,0.0703626669710502,49.0,1337.0,50,0.05,300
26,26,0.07219500001519918,50.0,1389.0,50,0.05,300
27,27,0.07403725001495332,50.0,1440.0,50,0.05,300
28,28,0.07588549994397908,50.0,1491.0,50,0.05,300
29,29,0.07768087496515363,50.0,1542.0,50,0.05,300
30,30,0.07948316691908985,50.0,1593.0,50,0.05,300
31,31,0.08129620796535164,50.0,1644.0,50,0.05,300
32,32,0.08310175000224262,50.0,1695.0,50,0.05,300
33,33,0.08491999993566424,50.0,1746.0,50,0.05,300
34,34,0.086748042027466,50.0,1797.0,50,0.05,300
35,35,0.08856116700917482,50.0,1848.0,50,0.05,300
36,36,0.09035641700029373,50.0,1899.0,50,0.05,300
37,37,0.09216258302330971,50.0,1950.0,50,0.05,300
38,38,0.09397787495981902,50.0,2001.0,50,0.05,300
39,39,0.09578866697847843,50.0,2052.0,50,0.05,300
40,40,0.09759520797524601,50.0,2103.0,50,0.05,300
41,41,0.0993896669242531,50.0,2154.0,50,0.05,300
42,42,0.10121245798654854,50.0,2205.0,50,0.05,300
43,43,0.10301424993667752,50.0,2256.0,50,0.05,300
44,44,0.10481699998490512,50.0,2307.0,50,0.05,300
45,45,0.10663404199294746,50.0,2358.0,50,0.05,300
46,46,0.10845354199409485,50.0,2409.0,50,0.05,300
47,47,0.11028066696599126,50.0,2460.0,50,0.05,300
48,48,0.11209662503097206,50.0,2511.0,50,0.05,300
49,49,0.11388720793183893,50.0,2562.0,50,0.05,300
50,50,0.11566891695838422,50.0,2613.0,50,0.05,300
51,51,0.11747016699519008,50.0,2664.0,50,0.05,300
52,52,0.1192858750000596,50.0,2715.0,50,0.05,300
53,53,0.12234720797277987,50.0,2766.0,50,0.05,300
54,54,0.12423066701740026,50.0,2817.0,50,0.05,300
55,55,0.1260776249691844,50.0,2868.0,50,0.05,300
56,56,0.12930629192851484,50.0,2919.0,50,0.05,300
57,57,0.1320824580034241,50.0,2970.0,50,0.05,300
58,58,0.1351858749985695,50.0,3021.0,50,0.05,300
59,59,0.13746162492316216,50.0,3072.0,50,0.05,300
60,60,0.1393694169819355,50.0,3123.0,50,0.05,300
61,61,0.1412612919230014,50.0,3174.0,50,0.05,300
62,62,0.14311216701753438,50.0,3225.0,50,0.05,300
63,63,0.14571758301462978,50.0,3276.0,50,0.05,300
64,64,0.1476122080348432,50.0,3327.0,50,0.05,300
65,65,0.14947729196865112,50.0,3378.0,50,0.05,300
66,66,0.15731445793062449,50.0,3429.0,50,0.05,300
67,67,0.15928570798132569,50.0,3480.0,50,0.05,300
68,68,0.16112704202532768,50.0,3531.0,50,0.05,300
69,69,0.16294591699261218,50.0,3582.0,50,0.05,300
70,70,0.16476529196370393,50.0,3633.0,50,0.05,300
71,71,0.16659637494012713,50.0,3684.0,50,0.05,300
72,72,0.16839216696098447,50.0,3735.0,50,0.05,300
73,73,0.1702084579737857,50.0,3786.0,50,0.05,300
74,74,0.1720037079649046,50.0,3837.0,50,0.05,300
75,75,0.17381283303257078,50.0,3888.0,50,0.05,300
76,76,0.17561416700482368,50.0,3939.0,50,0.05,300
77,0,0.0010100830113515258,27.0,50.0,50,0.1,300
78,1,0.02589554199948907,31.0,102.0,50,0.1,300
79,2,0.02787362493108958,32.0,154.0,50,0.1,300
80,3,0.029824999975971878,32.0,205.0,50,0.1,300
81,4,0.03176699997857213,33.0,257.0,50,0.1,300
82,5,0.033647999982349575,36.0,309.0,50,0.1,300
83,6,0.03550720796920359,36.0,360.0,50,0.1,300
84,7,0.03736458299681544,38.0,412.0,50,0.1,300
85,8,0.03918983298353851,38.0,463.0,50,0.1,300
86,9,0.04102470795623958,39.0,515.0,50,0.1,300
87,10,0.042863333015702665,39.0,566.0,50,0.1,300
88,11,0.04468858300242573,41.0,618.0,50,0.1,300
89,12,0.04651841695886105,42.0,670.0,50,0.1,300
90,13,0.0483571250224486,42.0,721.0,50,0.1,300
91,14,0.050205708015710115,43.0,773.0,50,0.1,300
92,15,0.0520567080238834,44.0,825.0,50,0.1,300
93,16,0.05387070798315108,44.0,876.0,50,0.1,300
94,17,0.055734916939400136,45.0,928.0,50,0.1,300
95,18,0.057569292024709284,45.0,979.0,50,0.1,300
96,19,0.05939616693649441,48.0,1031.0,50,0.1,300
97,20,0.06123429199215025,48.0,1082.0,50,0.1,300
98,21,0.06305887491907924,48.0,1133.0,50,0.1,300
99,22,0.06488704192452133,48.0,1184.0,50,0.1,300
100,23,0.06670724996365607,48.0,1235.0,50,0.1,300
101,24,0.06854354194365442,48.0,1286.0,50,0.1,300
102,25,0.0703626669710502,48.0,1337.0,50,0.1,300
103,26,0.07219500001519918,50.0,1389.0,50,0.1,300
104,27,0.07403725001495332,50.0,1440.0,50,0.1,300
105,28,0.07588549994397908,50.0,1491.0,50,0.1,300
106,29,0.07768087496515363,50.0,1542.0,50,0.1,300
107,30,0.07948316691908985,50.0,1593.0,50,0.1,300
108,31,0.08129620796535164,50.0,1644.0,50,0.1,300
109,32,0.08310175000224262,50.0,1695.0,50,0.1,300
110,33,0.08491999993566424,50.0,1746.0,50,0.1,300
111,34,0.086748042027466,50.0,1797.0,50,0.1,300
112,35,0.08856116700917482,50.0,1848.0,50,0.1,300
113,36,0.09035641700029373,50.0,1899.0,50,0.1,300
114,37,0.09216258302330971,50.0,1950.0,50,0.1,300
115,38,0.09397787495981902,50.0,2001.0,50,0.1,300
116,39,0.09578866697847843,50.0,2052.0,50,0.1,300
117,40,0.09759520797524601,50.0,2103.0,50,0.1,300
118,41,0.0993896669242531,50.0,2154.0,50,0.1,300
119,42,0.10121245798654854,50.0,2205.0,50,0.1,300
120,43,0.10301424993667752,50.0,2256.0,50,0.1,300
121,44,0.10481699998490512,50.0,2307.0,50,0.1,300
122,45,0.10663404199294746,50.0,2358.0,50,0.1,300
123,46,0.10845354199409485,50.0,2409.0,50,0.1,300
124,47,0.11028066696599126,50.0,2460.0,50,0.1,300
125,48,0.11209662503097206,50.0,2511.0,50,0.1,300
126,49,0.11388720793183893,50.0,2562.0,50,0.1,300
