,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0009097909787669778,30.0,50.0,True,50,0.1,300
1,1,0.031221333076246083,34.0,102.0,True,50,0.1,300
2,2,0.04230354097671807,38.0,154.0,True,50,0.1,300
3,3,0.05329837498720735,38.0,205.0,True,50,0.1,300
4,4,0.0614493329776451,39.0,257.0,True,50,0.1,300
5,5,0.06941950006876141,39.0,308.0,True,50,0.1,300
6,6,0.07618633308447897,39.0,359.0,True,50,0.1,300
7,7,0.0838200410362333,39.0,410.0,True,50,0.1,300
8,8,0.09098037506919354,39.0,461.0,True,50,0.1,300
9,9,0.10530658299103379,39.0,512.0,True,50,0.1,300
10,10,0.11337987508159131,39.0,563.0,True,50,0.1,300
11,11,0.1206515000667423,39.0,614.0,True,50,0.1,300
12,12,0.12781104107853025,39.0,665.0,True,50,0.1,300
13,13,0.1349677910329774,39.0,716.0,True,50,0.1,300
14,14,0.14209075004328042,39.0,767.0,True,50,0.1,300
15,15,0.14922804106026888,39.0,818.0,True,50,0.1,300
16,16,0.1563614159822464,39.0,869.0,True,50,0.1,300
17,17,0.163504125084728,39.0,920.0,True,50,0.1,300
18,18,0.17061262507922947,39.0,971.0,True,50,0.1,300
19,19,0.18708516599144787,39.0,1022.0,True,50,0.1,300
20,20,0.19513545802328736,39.0,1073.0,True,50,0.1,300
21,21,0.20235745806712657,39.0,1124.0,True,50,0.1,300
22,22,0.20954033301677555,39.0,1175.0,True,50,0.1,300
23,23,0.21668987500015646,39.0,1226.0,True,50,0.1,300
24,24,0.22532883298117667,39.0,1277.0,True,50,0.1,300
25,25,0.23317329108249396,39.0,1328.0,True,50,0.1,300
26,26,0.24574620800558478,39.0,1379.0,True,50,0.1,300
27,27,0.25414237508084625,39.0,1430.0,True,50,0.1,300
28,28,0.2615704160416499,39.0,1481.0,True,50,0.1,300
29,29,0.26875741605181247,39.0,1532.0,True,50,0.1,300
30,30,0.27589933306444436,39.0,1583.0,True,50,0.1,300
31,31,0.28310400003101677,39.0,1634.0,True,50,0.1,300
32,32,0.2903401660732925,39.0,1685.0,True,50,0.1,300
33,33,0.2975139580667019,39.0,1736.0,True,50,0.1,300
34,34,0.304689250071533,39.0,1787.0,True,50,0.1,300
35,35,0.31242570804897696,39.0,1838.0,True,50,0.1,300
36,36,0.31997800001408905,39.0,1889.0,True,50,0.1,300
37,37,0.3373748749727383,39.0,1940.0,True,50,0.1,300
38,38,0.34548004099633545,39.0,1991.0,True,50,0.1,300
39,39,0.35927808308042586,39.0,2042.0,True,50,0.1,300
40,40,0.3667074580444023,39.0,2093.0,True,50,0.1,300
41,41,0.3739082500105724,39.0,2144.0,True,50,0.1,300
42,42,0.38111337507143617,39.0,2195.0,True,50,0.1,300
43,43,0.3882597080664709,39.0,2246.0,True,50,0.1,300
44,44,0.3954404580872506,39.0,2297.0,True,50,0.1,300
45,45,0.40258970798458904,39.0,2348.0,True,50,0.1,300
46,46,0.4097618330270052,39.0,2399.0,True,50,0.1,300
47,47,0.41700400004629046,39.0,2450.0,True,50,0.1,300
48,48,0.42492595803923905,39.0,2501.0,True,50,0.1,300
49,49,0.43209545803256333,39.0,2552.0,True,50,0.1,300
50,50,0.4436947500798851,39.0,2603.0,True,50,0.1,300
51,51,0.45205079100560397,39.0,2654.0,True,50,0.1,300
52,52,0.4605190410511568,39.0,2705.0,True,50,0.1,300
53,53,0.46842870803084224,39.0,2756.0,True,50,0.1,300
54,54,0.4760851659812033,39.0,2807.0,True,50,0.1,300
