,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0016075409948825836,10.0,5.0,5,0.05,300
1,1,0.015266250004060566,4.0,12.0,5,0.05,300
2,2,0.016536833019927144,4.0,18.0,5,0.05,300
3,3,0.017821041052229702,4.0,24.0,5,0.05,300
4,4,0.019069458008743823,4.0,30.0,5,0.05,300
5,5,0.02031383302528411,4.0,36.0,5,0.05,300
6,6,0.02150112495291978,4.0,42.0,5,0.05,300
7,7,0.022689250065013766,4.0,48.0,5,0.05,300
8,8,0.02388137497473508,4.0,54.0,5,0.05,300
9,9,0.025073083001188934,4.0,60.0,5,0.05,300
10,10,0.02626745798625052,4.0,66.0,5,0.05,300
11,11,0.027466290979646146,4.0,72.0,5,0.05,300
12,12,0.02865770796779543,4.0,78.0,5,0.05,300
13,13,0.02984700002707541,4.0,84.0,5,0.05,300
14,14,0.03103620803449303,4.0,90.0,5,0.05,300
15,15,0.03222745796665549,4.0,96.0,5,0.05,300
16,16,0.03342037496622652,4.0,102.0,5,0.05,300
17,17,0.03460283298045397,4.0,108.0,5,0.05,300
18,18,0.03578795795328915,4.0,114.0,5,0.05,300
19,19,0.036970666027627885,4.0,120.0,5,0.05,300
20,20,0.03816116601228714,4.0,126.0,5,0.05,300
21,21,0.03934100002516061,4.0,132.0,5,0.05,300
22,22,0.04052270797546953,4.0,138.0,5,0.05,300
23,23,0.04170225001871586,4.0,144.0,5,0.05,300
24,24,0.04288379102945328,4.0,150.0,5,0.05,300
25,25,0.044066958012990654,4.0,156.0,5,0.05,300
26,26,0.045250291004776955,4.0,162.0,5,0.05,300
27,27,0.04643424996174872,4.0,168.0,5,0.05,300
28,28,0.047621750039979815,4.0,174.0,5,0.05,300
29,29,0.0488039159681648,4.0,180.0,5,0.05,300
30,30,0.051758249988779426,4.0,186.0,5,0.05,300
31,31,0.05561250005848706,4.0,192.0,5,0.05,300
32,32,0.05953937501180917,4.0,198.0,5,0.05,300
33,33,0.06112212501466274,4.0,204.0,5,0.05,300
34,34,0.06236633297521621,4.0,210.0,5,0.05,300
35,35,0.06357424997258931,4.0,216.0,5,0.05,300
36,36,0.06477625004481524,4.0,222.0,5,0.05,300
37,37,0.06597400002647191,4.0,228.0,5,0.05,300
38,38,0.06717058306094259,4.0,234.0,5,0.05,300
39,39,0.06836274999659508,4.0,240.0,5,0.05,300
40,40,0.06955670798197389,4.0,246.0,5,0.05,300
41,41,0.070751833030954,4.0,252.0,5,0.05,300
42,42,0.07194199995137751,4.0,258.0,5,0.05,300
43,43,0.07313449995126575,4.0,264.0,5,0.05,300
44,44,0.07432966597843915,4.0,270.0,5,0.05,300
45,45,0.0755254999967292,4.0,276.0,5,0.05,300
46,46,0.07671995798591524,4.0,282.0,5,0.05,300
47,47,0.07791875000111759,4.0,288.0,5,0.05,300
48,48,0.07911354105453938,4.0,294.0,5,0.05,300
49,49,0.08031337498687208,4.0,300.0,5,0.05,300
50,50,0.08150733297225088,4.0,306.0,5,0.05,300
51,51,0.08269979106262326,4.0,312.0,5,0.05,300
52,0,0.0016075409948825836,10.0,5.0,5,0.1,300
53,1,0.015266250004060566,4.0,12.0,5,0.1,300
54,2,0.016536833019927144,4.0,18.0,5,0.1,300
55,3,0.017821041052229702,4.0,24.0,5,0.1,300
56,4,0.019069458008743823,3.0,31.0,5,0.1,300
57,5,0.02031383302528411,3.0,37.0,5,0.1,300
58,6,0.02150112495291978,3.0,43.0,5,0.1,300
59,7,0.022689250065013766,3.0,49.0,5,0.1,300
60,8,0.02388137497473508,3.0,55.0,5,0.1,300
61,9,0.025073083001188934,3.0,61.0,5,0.1,300
62,10,0.02626745798625052,3.0,67.0,5,0.1,300
63,11,0.027466290979646146,3.0,73.0,5,0.1,300
64,12,0.02865770796779543,3.0,79.0,5,0.1,300
65,13,0.02984700002707541,3.0,85.0,5,0.1,300
66,14,0.03103620803449303,3.0,91.0,5,0.1,300
67,15,0.03222745796665549,3.0,97.0,5,0.1,300
68,16,0.03342037496622652,3.0,103.0,5,0.1,300
69,17,0.03460283298045397,3.0,109.0,5,0.1,300
70,18,0.03578795795328915,3.0,115.0,5,0.1,300
71,19,0.036970666027627885,3.0,121.0,5,0.1,300
72,20,0.03816116601228714,3.0,127.0,5,0.1,300
73,21,0.03934100002516061,3.0,133.0,5,0.1,300
74,22,0.04052270797546953,3.0,139.0,5,0.1,300
75,23,0.04170225001871586,3.0,145.0,5,0.1,300
76,24,0.04288379102945328,3.0,151.0,5,0.1,300
77,25,0.044066958012990654,3.0,157.0,5,0.1,300
78,26,0.045250291004776955,3.0,163.0,5,0.1,300
79,27,0.04643424996174872,3.0,169.0,5,0.1,300
80,28,0.047621750039979815,3.0,175.0,5,0.1,300
81,29,0.0488039159681648,3.0,181.0,5,0.1,300
82,30,0.051758249988779426,3.0,187.0,5,0.1,300
83,31,0.05561250005848706,3.0,193.0,5,0.1,300
84,32,0.05953937501180917,3.0,199.0,5,0.1,300
85,33,0.06112212501466274,3.0,205.0,5,0.1,300
86,34,0.06236633297521621,3.0,211.0,5,0.1,300
87,35,0.06357424997258931,3.0,217.0,5,0.1,300
88,36,0.06477625004481524,3.0,223.0,5,0.1,300
89,37,0.06597400002647191,3.0,229.0,5,0.1,300
90,38,0.06717058306094259,3.0,235.0,5,0.1,300
91,39,0.06836274999659508,3.0,241.0,5,0.1,300
92,40,0.06955670798197389,3.0,247.0,5,0.1,300
93,41,0.070751833030954,3.0,253.0,5,0.1,300
94,42,0.07194199995137751,3.0,259.0,5,0.1,300
95,43,0.07313449995126575,3.0,265.0,5,0.1,300
96,44,0.07432966597843915,3.0,271.0,5,0.1,300
97,45,0.0755254999967292,3.0,277.0,5,0.1,300
98,46,0.07671995798591524,3.0,283.0,5,0.1,300
99,47,0.07791875000111759,3.0,289.0,5,0.1,300
100,48,0.07911354105453938,3.0,295.0,5,0.1,300
101,49,0.08031337498687208,3.0,301.0,5,0.1,300
102,50,0.08150733297225088,3.0,307.0,5,0.1,300
103,51,0.08269979106262326,3.0,313.0,5,0.1,300
104,52,0.0017359170597046614,3.0,319.0,5,0.1,300
105,53,0.057171875028871,3.0,325.0,5,0.1,300
106,54,0.05873116699513048,3.0,331.0,5,0.1,300
107,0,0.0016075409948825836,10.0,5.0,5,0.2,300
108,1,0.015266250004060566,4.0,12.0,5,0.2,300
109,2,0.016536833019927144,4.0,18.0,5,0.2,300
110,3,0.017821041052229702,4.0,24.0,5,0.2,300
111,4,0.019069458008743823,3.0,31.0,5,0.2,300
112,5,0.02031383302528411,3.0,37.0,5,0.2,300
113,6,0.02150112495291978,3.0,43.0,5,0.2,300
114,7,0.022689250065013766,3.0,49.0,5,0.2,300
115,8,0.02388137497473508,3.0,55.0,5,0.2,300
116,9,0.025073083001188934,3.0,61.0,5,0.2,300
117,10,0.02626745798625052,3.0,67.0,5,0.2,300
118,11,0.027466290979646146,3.0,73.0,5,0.2,300
119,12,0.02865770796779543,3.0,79.0,5,0.2,300
120,13,0.02984700002707541,3.0,85.0,5,0.2,300
121,14,0.03103620803449303,3.0,91.0,5,0.2,300
122,15,0.03222745796665549,3.0,97.0,5,0.2,300
