,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.001107625081203878,11.0,0.0,0,300,0
1,1,0.017280458007007837,11.0,1.0,0,300,0
2,2,0.017669000080786645,10.0,3.0,0,300,0
3,3,0.017863666987977922,10.0,4.0,0,300,0
4,4,0.01805425004567951,10.0,5.0,0,300,0
5,5,0.01824270805809647,10.0,6.0,0,300,0
6,6,0.01860358298290521,7.0,8.0,0,300,0
7,7,0.018964000046253204,6.0,10.0,0,300,0
8,8,0.01932075002696365,5.0,12.0,0,300,0
9,9,0.019512125058099627,5.0,13.0,0,300,0
10,10,0.019700667005963624,5.0,14.0,0,300,0
11,11,0.019888458075001836,5.0,15.0,0,300,0
12,12,0.020079375011846423,5.0,16.0,0,300,0
13,13,0.020271792076528072,5.0,17.0,0,300,0
14,14,0.020465917070396245,5.0,18.0,0,300,0
15,15,0.020661125076003373,5.0,19.0,0,300,0
16,16,0.02085504203569144,5.0,20.0,0,300,0
17,17,0.021046000067144632,5.0,21.0,0,300,0
18,18,0.021239667083136737,5.0,22.0,0,300,0
19,19,0.021428958047181368,5.0,23.0,0,300,0
20,20,0.021618874976411462,5.0,24.0,0,300,0
21,21,0.02197870798408985,3.0,26.0,0,300,0
22,22,0.02216737507842481,3.0,27.0,0,300,0
23,23,0.022360000060871243,3.0,28.0,0,300,0
24,24,0.02254987508058548,3.0,29.0,0,300,0
25,25,0.022739792009815574,3.0,30.0,0,300,0
26,26,0.022929833037778735,3.0,31.0,0,300,0
27,27,0.023119542049244046,3.0,32.0,0,300,0
28,28,0.023308917065151036,3.0,33.0,0,300,0
29,29,0.023498292081058025,3.0,34.0,0,300,0
30,30,0.023688458022661507,3.0,35.0,0,300,0
31,31,0.023878667037934065,3.0,36.0,0,300,0
32,32,0.02423824998550117,2.0,38.0,0,300,0
33,33,0.02443524997215718,2.0,39.0,0,300,0
34,34,0.02462699997704476,2.0,40.0,0,300,0
35,35,0.02482370799407363,2.0,41.0,0,300,0
36,36,0.025015083025209606,2.0,42.0,0,300,0
37,37,0.02520870801527053,2.0,43.0,0,300,0
38,38,0.02540037501603365,2.0,44.0,0,300,0
39,39,0.025595542043447495,2.0,45.0,0,300,0
40,40,0.0257888330379501,2.0,46.0,0,300,0
41,41,0.025982000050134957,2.0,47.0,0,300,0
42,42,0.02617820806335658,2.0,48.0,0,300,0
43,43,0.026371999992989004,2.0,49.0,0,300,0
44,44,0.026568958070129156,2.0,50.0,0,300,0
45,45,0.02676408307161182,2.0,51.0,0,300,0
46,46,0.026960042072460055,2.0,52.0,0,300,0
47,47,0.027154291979968548,2.0,53.0,0,300,0
48,48,0.02735108300112188,2.0,54.0,0,300,0
49,49,0.027546375058591366,2.0,55.0,0,300,0
50,50,0.02774137503001839,2.0,56.0,0,300,0
51,51,0.027936625061556697,2.0,57.0,0,300,0
52,52,0.028131542028859258,2.0,58.0,0,300,0
53,53,0.028330250061117113,2.0,59.0,0,300,0
54,54,0.02852716704364866,2.0,60.0,0,300,0
55,55,0.028722958057187498,2.0,61.0,0,300,0
56,56,0.028919250005856156,2.0,62.0,0,300,0
57,57,0.029117124970071018,2.0,63.0,0,300,0
58,58,0.029317167005501688,2.0,64.0,0,300,0
59,59,0.02951879205647856,2.0,65.0,0,300,0
60,60,0.029715333017520607,2.0,66.0,0,300,0
61,61,0.029912375030107796,2.0,67.0,0,300,0
62,62,0.03011120797600597,2.0,68.0,0,300,0
63,63,0.030313167022541165,2.0,69.0,0,300,0
64,64,0.030516957980580628,2.0,70.0,0,300,0
65,65,0.030720583046786487,2.0,71.0,0,300,0
66,66,0.030919792014174163,2.0,72.0,0,300,0
67,67,0.031120417057536542,2.0,73.0,0,300,0
68,68,0.031319917063228786,2.0,74.0,0,300,0
69,69,0.03152041707653552,2.0,75.0,0,300,0
70,70,0.031725708045996726,2.0,76.0,0,300,0
71,71,0.031930417055264115,2.0,77.0,0,300,0
72,72,0.03213012497872114,2.0,78.0,0,300,0
73,73,0.032330541987903416,2.0,79.0,0,300,0
74,74,0.032530833035707474,2.0,80.0,0,300,0
75,75,0.03273166704457253,2.0,81.0,0,300,0
76,76,0.03293258300982416,2.0,82.0,0,300,0
77,77,0.033139207982458174,2.0,83.0,0,300,0
78,78,0.033341041998937726,2.0,84.0,0,300,0
79,79,0.033542375080287457,2.0,85.0,0,300,0
80,80,0.0337437919806689,2.0,86.0,0,300,0
81,81,0.03394587500952184,2.0,87.0,0,300,0
82,82,0.034147792030125856,2.0,88.0,0,300,0
