,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.02165875001810491,25.0,50.0,50,0.05,300
1,1,0.27886320801917464,16.0,102.0,50,0.05,300
2,2,0.3044915000209585,16.0,153.0,50,0.05,300
3,3,0.3280799170024693,13.0,205.0,50,0.05,300
4,4,0.3508777500828728,13.0,256.0,50,0.05,300
5,5,0.37380675005260855,13.0,307.0,50,0.05,300
6,6,0.3975374170113355,13.0,358.0,50,0.05,300
7,7,0.4207194580230862,13.0,409.0,50,0.05,300
8,8,0.4438028330914676,13.0,460.0,50,0.05,300
9,9,0.46733487502206117,13.0,511.0,50,0.05,300
10,10,0.4904345830436796,13.0,562.0,50,0.05,300
11,11,0.5136415830347687,13.0,613.0,50,0.05,300
12,12,0.5358417920069769,13.0,664.0,50,0.05,300
13,13,0.5698885830352083,12.0,716.0,50,0.05,300
14,14,0.5998852500924841,10.0,768.0,50,0.05,300
15,15,0.6222061250591651,10.0,819.0,50,0.05,300
16,16,0.6525719580240548,10.0,870.0,50,0.05,300
17,17,0.674998875008896,10.0,921.0,50,0.05,300
18,18,0.7044897080631927,10.0,972.0,50,0.05,300
19,19,0.727339917095378,9.0,1024.0,50,0.05,300
20,20,0.7563648330979049,9.0,1075.0,50,0.05,300
21,21,0.7886987500824034,9.0,1126.0,50,0.05,300
22,22,0.816084208083339,9.0,1177.0,50,0.05,300
23,23,0.8419745829887688,9.0,1228.0,50,0.05,300
24,24,0.8681090830359608,8.0,1280.0,50,0.05,300
25,25,0.8907744580646977,8.0,1331.0,50,0.05,300
26,26,0.9134888330008835,7.0,1383.0,50,0.05,300
27,27,0.9370660000713542,7.0,1434.0,50,0.05,300
28,28,0.9695281670428813,7.0,1485.0,50,0.05,300
29,29,0.9984065419994295,7.0,1536.0,50,0.05,300
30,30,1.0212342080194503,6.0,1588.0,50,0.05,300
31,31,1.0440147920744494,6.0,1639.0,50,0.05,300
32,32,1.0662907500518486,6.0,1690.0,50,0.05,300
33,33,1.095823833020404,6.0,1741.0,50,0.05,300
34,34,1.118110042065382,6.0,1792.0,50,0.05,300
35,35,1.1475713331019506,6.0,1843.0,50,0.05,300
36,36,1.1698728750925511,6.0,1894.0,50,0.05,300
37,37,1.2001818330027163,5.0,1946.0,50,0.05,300
38,38,1.2232083330163732,5.0,1997.0,50,0.05,300
39,39,1.2460032920353115,5.0,2048.0,50,0.05,300
40,40,1.2752428330713883,5.0,2099.0,50,0.05,300
41,41,1.2979291670490056,5.0,2150.0,50,0.05,300
42,42,1.328477792092599,5.0,2201.0,50,0.05,300
43,43,1.3508682500105351,5.0,2252.0,50,0.05,300
44,44,1.3792914170771837,5.0,2303.0,50,0.05,300
45,45,1.4025835000211373,5.0,2354.0,50,0.05,300
46,46,1.425111083080992,5.0,2405.0,50,0.05,300
47,47,1.457261958043091,5.0,2456.0,50,0.05,300
48,48,1.486905625090003,5.0,2507.0,50,0.05,300
49,49,1.5092678749933839,5.0,2558.0,50,0.05,300
50,50,1.5407022080617025,5.0,2609.0,50,0.05,300
51,51,1.5629125830018893,5.0,2660.0,50,0.05,300
52,52,1.591975999996066,5.0,2711.0,50,0.05,300
53,53,1.6142730000428855,5.0,2762.0,50,0.05,300
54,54,1.6437831250950694,5.0,2813.0,50,0.05,300
55,55,1.6661278750980273,5.0,2864.0,50,0.05,300
56,56,1.7056583750527352,5.0,2915.0,50,0.05,300
57,57,1.7295254170894623,5.0,2966.0,50,0.05,300
58,58,1.7629942920757458,5.0,3017.0,50,0.05,300
59,59,1.791404833085835,5.0,3068.0,50,0.05,300
60,60,1.8182150000939146,5.0,3119.0,50,0.05,300
61,61,1.8525193330133334,5.0,3170.0,50,0.05,300
62,62,1.8820927500491962,5.0,3221.0,50,0.05,300
63,63,1.9078397920820862,5.0,3272.0,50,0.05,300
64,64,1.9318469170248136,5.0,3323.0,50,0.05,300
65,65,1.962079583085142,5.0,3374.0,50,0.05,300
66,66,1.9928889580769464,5.0,3425.0,50,0.05,300
67,67,2.0230898330919445,5.0,3476.0,50,0.05,300
68,68,2.065040042041801,5.0,3527.0,50,0.05,300
69,69,2.099158375058323,5.0,3578.0,50,0.05,300
70,70,2.137615874991752,5.0,3629.0,50,0.05,300
