,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,28.0,50,0.028683625045232475,"[23, 1, 17, 14, 8, 7, 13, 13, 17, 17, 21, 9, 2, 10, 18, 19, 13, 6, 8, 23, 15, 24, 10, 14, 13]",50,0.05,300
1,300,6.0,3984,2.297889875015244,"[17, 10, 5, 9, 18, 4, 10, 3, 15, 19, 21, 2, 12, 7, 7, 1, 24, 16, 0, 8, 12, 18, 23, 11, 22]",50,0.05,300
2,0,28.0,50,0.031125459005124867,"[23, 1, 17, 14, 8, 7, 13, 13, 17, 17, 21, 9, 2, 10, 18, 19, 13, 6, 8, 23, 15, 24, 10, 14, 13]",50,0.1,300
3,300,2.0,7199,4.002860959037207,"[24, 8, 1, 16, 12, 21, 0, 7, 14, 4, 22, 7, 15, 17, 19, 5, 9, 23, 3, 20, 18, 2, 6, 11, 13]",50,0.1,300
4,0,28.0,50,0.021297625033184886,"[23, 1, 17, 14, 8, 7, 13, 13, 17, 17, 21, 9, 2, 10, 18, 19, 13, 6, 8, 23, 15, 24, 10, 14, 13]",50,0.2,300
5,300,4.0,4903,2.474435792071745,"[17, 3, 23, 9, 1, 13, 10, 7, 14, 4, 21, 15, 24, 22, 19, 6, 4, 20, 12, 8, 18, 2, 18, 16, 0]",50,0.2,300
6,0,28.0,50,0.021217542001977563,"[23, 1, 17, 14, 8, 7, 13, 13, 17, 17, 21, 9, 2, 10, 18, 19, 13, 6, 8, 23, 15, 24, 10, 14, 13]",50,0.4,300
7,300,0.0,4499,2.356665875064209,"[16, 12, 24, 9, 3, 13, 0, 10, 15, 1, 5, 20, 22, 17, 14, 6, 4, 18, 23, 8, 2, 11, 7, 19, 21]",50,0.4,300
8,0,28.0,50,0.02134045900311321,"[23, 1, 17, 14, 8, 7, 13, 13, 17, 17, 21, 9, 2, 10, 18, 19, 13, 6, 8, 23, 15, 24, 10, 14, 13]",50,0.6,300
9,300,2.0,5670,2.8657724999357015,"[16, 22, 13, 10, 21, 4, 6, 17, 22, 12, 8, 0, 20, 1, 19, 7, 11, 2, 20, 9, 24, 15, 23, 14, 5]",50,0.6,300
10,0,28.0,50,0.021435167058371007,"[23, 1, 17, 14, 8, 7, 13, 13, 17, 17, 21, 9, 2, 10, 18, 19, 13, 6, 8, 23, 15, 24, 10, 14, 13]",50,0.8,300
11,300,1.0,8222,4.074409291963093,"[5, 15, 8, 0, 14, 3, 21, 18, 9, 4, 19, 23, 2, 17, 22, 7, 16, 24, 1, 12, 6, 2, 13, 10, 20]",50,0.8,300
