,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,60.0,5,0.006489583989605308,"[2, 21, 8, 31, 1, 19, 32, 46, 34, 3, 30, 41, 11, 47, 24, 38, 39, 21, 41, 41, 19, 30, 13, 10, 3, 4, 18, 14, 23, 30, 12, 30, 46, 36, 4, 41, 45, 24, 12, 16, 39, 7, 1, 12, 34, 1, 36, 7, 13, 14]",5,0.05,300
1,300,32.0,605,0.6380485419649631,"[23, 26, 19, 9, 43, 8, 11, 12, 8, 16, 21, 35, 42, 25, 49, 48, 14, 26, 34, 5, 8, 34, 28, 0, 16, 44, 7, 7, 38, 16, 48, 17, 33, 5, 4, 35, 0, 2, 33, 47, 49, 21, 17, 36, 31, 46, 39, 20, 33, 30]",5,0.05,300
2,0,60.0,5,0.006572958081960678,"[2, 21, 8, 31, 1, 19, 32, 46, 34, 3, 30, 41, 11, 47, 24, 38, 39, 21, 41, 41, 19, 30, 13, 10, 3, 4, 18, 14, 23, 30, 12, 30, 46, 36, 4, 41, 45, 24, 12, 16, 39, 7, 1, 12, 34, 1, 36, 7, 13, 14]",5,0.1,300
3,300,31.0,491,0.6662625420140103,"[23, 26, 33, 9, 43, 8, 11, 12, 8, 16, 21, 35, 42, 25, 49, 48, 14, 25, 46, 37, 8, 34, 35, 0, 16, 44, 7, 7, 38, 16, 48, 17, 33, 5, 5, 35, 0, 2, 33, 47, 49, 21, 17, 36, 4, 7, 39, 20, 33, 48]",5,0.1,300
4,0,60.0,5,0.0060374999884516,"[2, 21, 8, 31, 1, 19, 32, 46, 34, 3, 30, 41, 11, 47, 24, 38, 39, 21, 41, 41, 19, 30, 13, 10, 3, 4, 18, 14, 23, 30, 12, 30, 46, 36, 4, 41, 45, 24, 12, 16, 39, 7, 1, 12, 34, 1, 36, 7, 13, 14]",5,0.2,300
5,300,18.0,1386,1.48265999997966,"[23, 3, 47, 9, 43, 8, 11, 22, 43, 16, 21, 15, 29, 25, 49, 41, 14, 26, 39, 10, 8, 34, 44, 1, 18, 44, 7, 33, 38, 32, 13, 17, 33, 4, 19, 35, 0, 2, 33, 47, 24, 21, 17, 36, 34, 6, 42, 20, 5, 36]",5,0.2,300
6,0,60.0,5,0.009013375034555793,"[2, 21, 8, 31, 1, 19, 32, 46, 34, 3, 30, 41, 11, 47, 24, 38, 39, 21, 41, 41, 19, 30, 13, 10, 3, 4, 18, 14, 23, 30, 12, 30, 46, 36, 4, 41, 45, 24, 12, 16, 39, 7, 1, 12, 34, 1, 36, 7, 13, 14]",5,0.4,300
7,300,13.0,1545,1.6302948750089854,"[41, 26, 6, 9, 43, 8, 46, 12, 45, 16, 21, 35, 42, 3, 1, 27, 14, 26, 32, 5, 20, 34, 30, 0, 16, 44, 7, 2, 38, 16, 48, 17, 29, 4, 49, 37, 31, 2, 27, 18, 24, 21, 16, 47, 40, 4, 39, 13, 33, 19]",5,0.4,300
8,0,60.0,5,0.005983041017316282,"[2, 21, 8, 31, 1, 19, 32, 46, 34, 3, 30, 41, 11, 47, 24, 38, 39, 21, 41, 41, 19, 30, 13, 10, 3, 4, 18, 14, 23, 30, 12, 30, 46, 36, 4, 41, 45, 24, 12, 16, 39, 7, 1, 12, 34, 1, 36, 7, 13, 14]",5,0.6,300
9,300,14.0,1079,1.1410429999232292,"[23, 26, 4, 0, 43, 8, 11, 12, 8, 1, 21, 30, 42, 40, 49, 27, 14, 29, 46, 7, 0, 34, 44, 37, 6, 3, 7, 34, 38, 16, 9, 17, 33, 5, 23, 35, 45, 2, 33, 47, 32, 18, 10, 36, 34, 28, 22, 20, 39, 48]",5,0.6,300
10,0,60.0,5,0.006889375043101609,"[2, 21, 8, 31, 1, 19, 32, 46, 34, 3, 30, 41, 11, 47, 24, 38, 39, 21, 41, 41, 19, 30, 13, 10, 3, 4, 18, 14, 23, 30, 12, 30, 46, 36, 4, 41, 45, 24, 12, 16, 39, 7, 1, 12, 34, 1, 36, 7, 13, 14]",5,0.8,300
11,300,12.0,1260,1.3367725840071216,"[21, 45, 6, 9, 43, 22, 14, 12, 27, 16, 4, 13, 37, 25, 44, 48, 14, 31, 46, 18, 8, 34, 46, 0, 8, 1, 7, 47, 38, 47, 15, 17, 33, 28, 23, 35, 10, 2, 42, 12, 49, 21, 29, 36, 40, 15, 37, 30, 19, 1]",5,0.8,300
