,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.05614629201591015,60.0,50.0,True,50,0.1,300
1,1,0.4430663340026513,35.0,102.0,True,50,0.1,300
2,2,0.7932504590135068,35.0,153.0,True,50,0.1,300
3,3,1.376737584010698,35.0,204.0,True,50,0.1,300
4,4,1.9236744169611484,35.0,255.0,True,50,0.1,300
5,5,2.4121607090346515,35.0,306.0,True,50,0.1,300
6,6,2.9195528340060264,35.0,357.0,True,50,0.1,300
7,7,3.4549693750450388,35.0,408.0,True,50,0.1,300
8,8,4.024047833983786,35.0,459.0,True,50,0.1,300
9,9,4.568723417003639,35.0,510.0,True,50,0.1,300
10,10,5.078778333961964,35.0,561.0,True,50,0.1,300
11,11,5.635951292002574,35.0,612.0,True,50,0.1,300
12,12,6.160828000050969,35.0,663.0,True,50,0.1,300
13,13,6.690712459036149,35.0,714.0,True,50,0.1,300
14,14,7.306697166990489,35.0,765.0,True,50,0.1,300
15,15,7.8580471250461414,35.0,816.0,True,50,0.1,300
16,16,8.369331125053577,35.0,867.0,True,50,0.1,300
17,17,8.857195709017105,35.0,918.0,True,50,0.1,300
18,18,9.412605999968946,35.0,969.0,True,50,0.1,300
19,19,9.962300791987218,35.0,1020.0,True,50,0.1,300
20,20,10.504712000023574,35.0,1071.0,True,50,0.1,300
21,21,11.022954749991186,35.0,1122.0,True,50,0.1,300
22,22,11.547483999980614,35.0,1173.0,True,50,0.1,300
23,23,12.08570320904255,35.0,1224.0,True,50,0.1,300
24,24,12.632134292041883,35.0,1275.0,True,50,0.1,300
25,25,13.297569541959092,35.0,1326.0,True,50,0.1,300
26,26,13.89702270901762,35.0,1377.0,True,50,0.1,300
27,27,14.581648834049702,35.0,1428.0,True,50,0.1,300
28,28,15.139927417039871,35.0,1479.0,True,50,0.1,300
29,29,15.672381749958731,35.0,1530.0,True,50,0.1,300
30,30,16.208385084057227,35.0,1581.0,True,50,0.1,300
31,31,16.712213666993193,35.0,1632.0,True,50,0.1,300
32,32,17.266442666994408,35.0,1683.0,True,50,0.1,300
33,33,17.804444542038254,35.0,1734.0,True,50,0.1,300
34,34,18.319164042011835,35.0,1785.0,True,50,0.1,300
