,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,44.0,0,0.002044374938122928,"[28, 47, 25, 8, 38, 8, 10, 46, 21, 2, 9, 10, 48, 1, 14, 46, 5, 39, 22, 12, 11, 49, 11, 44, 16, 45, 18, 8, 2, 49, 44, 6, 34, 43, 37, 20, 11, 48, 8, 12, 10, 14, 12, 49, 29, 40, 23, 21, 38, 34]",geometric,0.1,0.99,0.001,0.09999794535563425,0.1,300
1,300,14.0,377,0.45848929102066904,"[28, 7, 25, 14, 20, 48, 10, 3, 21, 35, 9, 26, 30, 1, 36, 44, 5, 49, 27, 12, 42, 31, 11, 44, 1, 45, 18, 24, 47, 4, 2, 34, 22, 38, 46, 49, 38, 45, 8, 8, 0, 32, 6, 16, 29, 40, 32, 45, 13, 15]",geometric,0.1,0.99,0.001,0.09954026290516543,0.1,300
2,0,44.0,0,0.001787249930202961,"[28, 47, 25, 8, 38, 8, 10, 46, 21, 2, 9, 10, 48, 1, 14, 46, 5, 39, 22, 12, 11, 49, 11, 44, 16, 45, 18, 8, 2, 49, 44, 6, 34, 43, 37, 20, 11, 48, 8, 12, 10, 14, 12, 49, 29, 40, 23, 21, 38, 34]",geometric,0.5,0.99,0.001,0.4999910188496357,0.5,300
3,300,12.0,382,0.47618624998722225,"[12, 7, 27, 42, 20, 5, 21, 28, 30, 33, 9, 19, 41, 1, 37, 46, 6, 30, 22, 24, 16, 40, 9, 49, 15, 3, 18, 10, 2, 4, 47, 32, 34, 43, 20, 49, 11, 44, 8, 36, 17, 26, 6, 16, 0, 13, 23, 45, 14, 31]",geometric,0.5,0.99,0.001,0.4976128010520555,0.5,300
4,0,44.0,0,0.0038196250097826123,"[28, 47, 25, 8, 38, 8, 10, 46, 21, 2, 9, 10, 48, 1, 14, 46, 5, 39, 22, 12, 11, 49, 11, 44, 16, 45, 18, 8, 2, 49, 44, 6, 34, 43, 37, 20, 11, 48, 8, 12, 10, 14, 12, 49, 29, 40, 23, 21, 38, 34]",geometric,1.0,0.99,0.001,0.9999616122226468,1.0,300
5,300,18.0,412,0.5048608749639243,"[8, 48, 25, 15, 20, 5, 32, 29, 38, 41, 7, 26, 48, 8, 19, 11, 5, 39, 27, 36, 10, 14, 49, 42, 4, 45, 9, 48, 1, 5, 2, 33, 17, 43, 20, 49, 7, 44, 49, 14, 46, 18, 6, 39, 0, 13, 23, 12, 47, 30]",geometric,1.0,0.99,0.001,0.9949388297488883,1.0,300
6,0,44.0,0,0.0018097920110449195,"[28, 47, 25, 8, 38, 8, 10, 46, 21, 2, 9, 10, 48, 1, 14, 46, 5, 39, 22, 12, 11, 49, 11, 44, 16, 45, 18, 8, 2, 49, 44, 6, 34, 43, 37, 20, 11, 48, 8, 12, 10, 14, 12, 49, 29, 40, 23, 21, 38, 34]",geometric,2.0,0.99,0.001,1.9999636222957664,2.0,300
7,300,15.0,411,0.5489942498970777,"[37, 13, 25, 13, 20, 48, 26, 31, 21, 4, 16, 7, 3, 1, 11, 46, 5, 39, 27, 23, 14, 14, 9, 44, 3, 30, 45, 7, 36, 28, 22, 2, 22, 44, 15, 49, 3, 29, 41, 37, 40, 19, 6, 26, 0, 5, 0, 12, 24, 34]",geometric,2.0,0.99,0.001,1.9889952345506705,2.0,300
8,0,44.0,0,0.0017443749820813537,"[28, 47, 25, 8, 38, 8, 10, 46, 21, 2, 9, 10, 48, 1, 14, 46, 5, 39, 22, 12, 11, 49, 11, 44, 16, 45, 18, 8, 2, 49, 44, 6, 34, 43, 37, 20, 11, 48, 8, 12, 10, 14, 12, 49, 29, 40, 23, 21, 38, 34]",geometric,5.0,0.99,0.001,4.999912342996263,5.0,300
9,300,19.0,466,0.4564365840051323,"[9, 47, 23, 21, 24, 48, 16, 7, 37, 28, 33, 2, 42, 31, 48, 43, 19, 10, 22, 44, 47, 38, 34, 28, 1, 35, 45, 12, 6, 17, 1, 5, 46, 39, 15, 22, 11, 44, 49, 37, 40, 25, 31, 39, 27, 5, 45, 0, 14, 41]",geometric,5.0,0.99,0.001,4.977115824064104,5.0,300
10,0,44.0,0,0.001745958928950131,"[28, 47, 25, 8, 38, 8, 10, 46, 21, 2, 9, 10, 48, 1, 14, 46, 5, 39, 22, 12, 11, 49, 11, 44, 16, 45, 18, 8, 2, 49, 44, 6, 34, 43, 37, 20, 11, 48, 8, 12, 10, 14, 12, 49, 29, 40, 23, 21, 38, 34]",geometric,10.0,0.99,0.001,9.999824526803337,10,300
11,300,32.0,517,0.5759171670069918,"[10, 40, 23, 23, 1, 48, 21, 29, 29, 40, 27, 18, 12, 9, 46, 32, 19, 26, 26, 3, 24, 49, 49, 42, 22, 2, 39, 36, 2, 40, 32, 41, 18, 1, 46, 48, 6, 24, 28, 34, 0, 10, 6, 16, 20, 36, 32, 17, 47, 48]",geometric,10.0,0.99,0.001,9.942285581781611,10,300
