Gamma,Iteration,Mean V,Difference,Times,Total Time,Total Iter,Changes,States
0.1,1,-0.45708333333333334,6.333333333333333,0.0003600120544433594,0.0006809234619140625,2,0,20
0.1,2,-0.49937499999999985,0.40555555555555545,0.0006201267242431641,0.0006809234619140625,2,0,20
0.3,1,-0.45708333333333334,6.333333333333333,0.0005049705505371094,0.0020189285278320312,5,0,20
0.3,2,-0.5839583333333335,1.2166666666666663,0.0013399124145507812,0.0020189285278320312,5,0,20
0.3,3,-0.6221166666666668,0.1800000000000006,0.0015819072723388672,0.0020189285278320312,5,0,20
0.3,4,-0.6335258333333335,0.051999999999999824,0.0017879009246826172,0.0020189285278320312,5,0,20
0.3,5,-0.6369437916666668,0.010950000000000015,0.001985788345336914,0.0020189285278320312,5,0,20
0.5,1,-0.45708333333333334,6.333333333333333,0.00019621849060058594,0.002034902572631836,8,0,20
0.5,2,-0.6685416666666667,2.0277777777777772,0.00041604042053222656,0.002034902572631836,8,0,20
0.5,3,-0.7745370370370369,0.5,0.0006320476531982422,0.002034902572631836,8,0,20
0.5,4,-0.8273572530864197,0.24074074074074048,0.0008540153503417969,0.002034902572631836,8,0,20
0.5,5,-0.8537303883744856,0.08449074074074064,0.0011119842529296875,0.002034902572631836,8,0,20
0.5,6,-0.8668590856481481,0.03560099451303156,0.0013141632080078125,0.002034902572631836,8,0,20
0.5,7,-0.8733999557041611,0.015614283264746176,0.0015079975128173828,0.002034902572631836,8,0,20
0.5,8,-0.876651381923011,0.006240712162780104,0.001986980438232422,0.002034902572631836,8,0,20
0.7,1,-0.45708333333333334,6.333333333333333,0.00027108192443847656,0.004444122314453125,13,0,20
0.7,2,-0.7531249999999997,2.838888888888888,0.0005857944488525391,0.004444122314453125,13,0,20
0.7,3,-0.9608759259259262,0.9800000000000004,0.0008680820465087891,0.004444122314453125,13,0,20
0.7,4,-1.1058145987654322,0.6605925925925931,0.001077890396118164,0.004444122314453125,13,0,20
0.7,5,-1.2071296352880658,0.32457962962962994,0.0012750625610351562,0.004444122314453125,13,0,20
0.7,6,-1.2777389201131686,0.1914706927297667,0.0014691352844238281,0.004444122314453125,13,0,20
0.7,7,-1.3269886366712393,0.11756830795610407,0.002331972122192383,0.004444122314453125,13,0,20
0.7,8,-1.361263059743884,0.06578553365340634,0.0026311874389648438,0.004444122314453125,13,0,20
0.7,9,-1.3851266098824966,0.04311226475638863,0.002835988998413086,0.004444122314453125,13,0,20
0.7,10,-1.4017107479613418,0.025467623418948593,0.0030460357666015625,0.004444122314453125,13,0,20
