Gamma,Iteration,Mean V,Difference,Times,Total Time,Total Iter,Changes,States
0.1,1,-0.6187666666666668,2.09999,0.0006341934204101562,0.0038709640502929688,7,13,3
0.1,2,-0.5023235000000001,0.2121200000000001,0.001260995864868164,0.0038709640502929688,7,19,3
0.1,3,-0.4899871666666668,0.021209000000000033,0.0016939640045166016,0.0038709640502929688,7,22,3
0.1,4,-0.4885953333333334,0.002120000000000122,0.002117156982421875,0.0038709640502929688,7,21,3
0.1,5,-0.4884938333333333,0.00020900000000012575,0.0025339126586914062,0.0038709640502929688,7,17,3
0.1,6,-0.4884845,2.0000000000131024e-05,0.0032088756561279297,0.0038709640502929688,7,5,3
0.1,7,-0.4884845,2.0000000000131024e-05,0.003847837448120117,0.0038709640502929688,7,0,3
0.3,1,-0.8708110333333334,6.299934390000001,0.0005152225494384766,0.0064830780029296875,10,13,3
0.3,2,-0.40267600423333333,2.0769090414300004,0.0012791156768798828,0.0064830780029296875,10,19,3
0.3,3,-0.26617807094833323,0.6230714723999999,0.0019860267639160156,0.0064830780029296875,10,22,3
0.3,4,-0.21709915606333338,0.18690904142999987,0.0027399063110351562,0.0064830780029296875,10,21,3
0.3,5,-0.20545595375833334,0.05607147239999999,0.003255128860473633,0.0064830780029296875,10,29,3
0.3,6,-0.2017798659583334,0.01680904142999995,0.0038270950317382812,0.0064830780029296875,10,17,3
0.3,7,-0.20147606735833337,0.005041472399999858,0.004648923873901367,0.0064830780029296875,10,13,3
0.3,8,-0.20138630558833337,0.00012223143000000825,0.005351066589355469,0.0064830780029296875,10,6,3
0.3,9,-0.2013849277783334,3.5429400000008826e-05,0.005908012390136719,0.0064830780029296875,10,2,3
0.3,10,-0.2013849277783334,3.5429400000008826e-05,0.00646209716796875,0.0064830780029296875,10,0,3
0.5,1,-1.3582722981770834,10.499969482421875,0.00078582763671875,0.008246898651123047,11,13,3
0.5,2,-0.17222493489583332,6.999971389770508,0.0016520023345947266,0.008246898651123047,11,19,3
0.5,3,0.3624935785929362,3.4999847412109375,0.0025148391723632812,0.008246898651123047,11,22,3
0.5,4,0.7027634938557943,1.7499713897705078,0.0032188892364501953,0.008246898651123047,11,21,3
0.5,5,0.8455531438191731,0.8749847412109375,0.003983020782470703,0.008246898651123047,11,29,3
